timestamp,device_id,ssid,bssid,security,frequency,rssi
1759234523523,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,FRITZ!Box 7590 UB,3c:a6:2f:20:f7:43,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],5300,-72
1759234523523,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,FRITZ!Box 7590 UB,3c:a6:2f:20:f7:42,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2462,-64
1759234523523,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,cc:00:f1:e9:a5:82,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5500,-69
1759234523523,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Enter friend and enter,cc:00:f1:e9:a5:7e,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS][MFPC],2412,-61
1759234523523,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Enter friend and enter,cc:00:f1:e9:a5:7f,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS][MFPC],5500,-69
1759234523523,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,FRITZ!Box 7590 UB,2c:3a:fd:c2:2b:2e,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2462,-71
1759234523523,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,FRITZ!Box 7590 UB,2c:3a:fd:c2:2b:2d,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],5300,-86
1759234523523,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Clemens Gastzugang,2e:3a:fd:c2:2b:2e,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2462,-71
1759234523523,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Clemens Gastzugang,3e:a6:2f:20:f7:43,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],5300,-72
1759234523523,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Clemens Gastzugang,2e:3a:fd:c2:2b:2d,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],5300,-85
1759234523523,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Clemens Gastzugang,3e:a6:2f:20:f7:42,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2462,-64
1759234583536,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,FRITZ!Box 7590 UB,3c:a6:2f:20:f7:43,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],5300,-72
1759234583536,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,FRITZ!Box 7590 UB,3c:a6:2f:20:f7:42,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2462,-63
1759234583536,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,cc:00:f1:e9:a5:82,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5500,-69
1759234583536,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Enter friend and enter,cc:00:f1:e9:a5:7e,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS][MFPC],2412,-59
1759234583536,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Enter friend and enter,cc:00:f1:e9:a5:7f,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS][MFPC],5500,-70
1759234583536,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,FRITZ!Box 7590 UB,2c:3a:fd:c2:2b:2e,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2462,-71
1759234583536,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,FRITZ!Box 7590 UB,2c:3a:fd:c2:2b:2d,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],5300,-86
1759234583536,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Clemens Gastzugang,2e:3a:fd:c2:2b:2e,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2462,-71
1759234583536,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Clemens Gastzugang,3e:a6:2f:20:f7:43,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],5300,-72
1759234583536,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Clemens Gastzugang,2e:3a:fd:c2:2b:2d,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],5300,-86
1759234583536,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,Clemens Gastzugang,3e:a6:2f:20:f7:42,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2462,-64
